iso_code,iso_lat_long
ZMB,"(-14.5189121, 27.5589884)"
CIV,"(7.9897371, -5.5679458)"
DNK,"(55.670249, 10.3333283)"
DEU,"(51.1638175, 10.4478313)"
CZE,"(49.7439047, 15.3381061)"
CYP,"(34.9174159, 32.889902651331866)"
CHE,"(46.7985624, 8.2319736)"
CAN,"(61.0666922, -107.991707)"
BEL,"(50.6402809, 4.6667145)"
AUT,"(47.59397, 14.12456)"
USA,"(39.7837304, -100.445882)"
RUS,"(64.6863136, 97.7453061)"
NOR,"(64.5731537, 11.52803643954819)"
IRL,"(52.865196, -7.9794599)"
FRA,"(46.603354, 1.8883335)"
ESP,"(39.3260685, -4.8379791)"
ITA,"(42.6384261, 12.674297)"
EST,"(58.7523778, 25.3319078)"
FIN,"(63.2467777, 25.9209164)"
BRA,"(-10.3333333, -53.2)"
ARG,"(-34.9964963, -64.9672817)"
SWE,"(59.6749712, 14.5208584)"
PRT,"(39.6621648, -8.1353519)"
POL,"(52.215933, 19.134422)"
NLD,"(52.2434979, 5.6343227)"
MLT,"(35.8885993, 14.4476911)"
MDA,"(47.027288150000004, 28.826340253557447)"
LUX,"(49.6112768, 6.129799)"
ISR,"(30.8124247, 34.8594762)"
ISL,"(64.9841821, -18.1059013)"
GRC,"(43.2581805, -77.6970101)"
GBR,"(54.7023545, -3.2765753)"
CMR,"(4.6125522, 13.1535811)"
RWA,"(-1.9646631, 30.0644358)"
ROU,"(45.9852129, 24.6859225)"
NER,"(17.7356214, 9.3238432)"
MYS,"(4.5693754, 102.2656823)"
MWI,"(-13.2687204, 33.9301963)"
MAR,"(28.3347722, -10.371337908392647)"
LBY,"(26.8234472, 18.1236723)"
LBN,"(40.375713, -76.4626118)"
KOR,"(38.233686649999996, 127.00873073371443)"
KEN,"(1.4419683, 38.4313975)"
IND,"(22.3511148, 78.6677428)"
SDN,"(10.9, 6.5)"
SOM,"(8.3676771, 49.083416)"
SSD,"(7.8699431, 29.6667897)"
MEX,"(19.4326296, -99.1331785)"
ZWE,"(-18.4554963, 29.7468414)"
ZAF,"(-28.8166236, 24.991639)"
YEM,"(16.3471243, 47.8915271)"
UGA,"(1.5333554, 32.2166578)"
TUN,"(36.8002068, 10.1857757)"
THA,"(7.4931858, 124.724704)"
TCD,"(15.6134137, 19.0156172)"
SWZ,"(-26.5624806, 31.3991317)"
GEO,"(32.3293809, -83.1137366)"
MRT,"(20.2540382, -9.2399263)"
SEN,"(14.4750607, -14.4529612)"
NGA,"(9.6000359, 7.9999721)"
DZA,"(28.0000272, 2.9999825)"
SVN,"(46.1199444, 14.8153333)"
EGY,"(26.2540493, 29.2675469)"
GHA,"(8.0300284, -1.0800271)"
LIE,"(47.1416307, 9.5531527)"
CRI,"(10.2735633, -84.0739102)"
COL,"(4.099917, -72.9088133)"
CHL,"(-31.7613365, -71.3187697)"
MKD,"(41.6171214, 21.7168387)"
HND,"(15.2572432, -86.0755145)"
BGR,"(42.6073975, 25.4856617)"
ARM,"(4.491976149999999, -75.74135085294314)"
URY,"(-32.8755548, -56.0201525)"
PRY,"(-23.3165935, -58.1693445)"
PER,"(-6.8699697, -75.0458515)"
PAN,"(8.559559, -81.1308434)"
ECU,"(-1.3397668, -79.3666965)"
HRV,"(45.3658443, 15.6575209)"
TTO,"(10.7466905, -61.0840075)"
DJI,"(11.8145966, 42.8453061)"
CUB,"(23.0131338, -80.8328748)"
CHN,"(35.000074, 104.999927)"
LSO,"(-29.6039267, 28.3350193)"
NZL,"(-41.5000831, 172.8344077)"
LVA,"(56.8406494, 24.7537645)"
IRQ,"(33.0955793, 44.1749775)"
SRB,"(44.024322850000004, 21.07657433209902)"
LTU,"(55.3500003, 23.7499997)"
PAK,"(30.3308401, 71.247499)"
TUR,"(38.9597594, 34.9249653)"
SYR,"(34.6401861, 39.0494106)"
KGZ,"(42.4858224, 74.714583)"
KAZ,"(48.1012954, 66.7780818)"
SLV,"(13.8000382, -88.9140683)"
GTM,"(15.5855545, -90.345759)"
DOM,"(19.0974031, -70.3028026)"
GUY,"(4.8417097, -58.6416891)"
BLR,"(53.4250605, 27.6971358)"
LBR,"(5.7499721, -9.3658524)"
ARE,"(24.0002488, 53.9994829)"
ALB,"(1.2315264, -75.89204331320687)"
PHL,"(12.7503486, 122.7312101)"
BIH,"(44.3053476, 17.5961467)"
AFG,"(33.7680065, 66.2385139)"
TZA,"(-6.5247123, 35.7878438)"
SVK,"(48.7411522, 19.4528646)"
TGO,"(8.7800265, 1.0199765)"
LKA,"(7.5554942, 80.7137847)"
NAM,"(-23.2335499, 17.3231107)"
BEN,"(9.5293472, 2.2584408)"
UKR,"(49.4871968, 31.2718321)"
MNE,"(-29.6826112, -51.4687455)"
MOZ,"(-19.302233, 34.9144977)"
COG,"(-2.9814344, 23.8222636)"
COD,"(-2.9814344, 23.8222636)"
TJK,"(38.6281733, 70.8156541)"
SUR,"(4.1413025, -56.0771187)"
IDN,"(-2.4833826, 117.8902853)"
HUN,"(47.1817585, 19.5060937)"
ETH,"(10.2116702, 38.6521203)"
MLI,"(16.3700359, -2.2900239)"
MUS,"(-20.2759451, 57.5703566)"
CYM,"(19.703182249999998, -79.9174627243246)"
VEN,"(8.0018709, -66.1109318)"
GMB,"(13.470062, -15.4900464)"
GAB,"(-0.8999695, 11.6899699)"
BFA,"(12.0753083, -1.6880314)"
KNA,"(17.250512, -62.6725973)"
CAF,"(7.0323598, 19.9981227)"
BDI,"(-3.426449, 29.9324519)"
KWT,"(29.3796532, 47.9734174)"
FJI,"(-18.1239696, 179.0122737)"
JOR,"(44.6663146, -93.6261918)"
PNG,"(-5.6816069, 144.2489081)"
SGP,"(1.357107, 103.8194992)"
AZE,"(40.3936294, 47.7872508)"
MDG,"(-18.9249604, 46.4416422)"
NPL,"(28.3780464, 83.9999901)"
VNM,"(15.9266657, 107.9650855)"
AUS,"(-24.7761086, 134.755)"
JPN,"(36.5748441, 139.2394179)"
BLZ,"(17.1204943, -88.6859028)"
BOL,"(-17.0568696, -64.9912286)"
BHS,"(24.7736546, -78.0000547)"
NRU,"(-0.5252306, 166.9324426)"
COM,"(-12.2045176, 44.2832964)"
BWA,"(-23.1681782, 24.5928742)"
BGD,"(-0.2864982, 36.0514231)"
SAU,"(25.6242618, 42.3528328)"
GIN,"(10.7226226, -10.7083587)"
VUT,"(-16.5255069, 168.1069154)"
BHR,"(26.1551249, 50.5344606)"
AGO,"(-11.8775768, 17.5691241)"
QAT,"(25.3336984, 51.2295295)"
CUW,"(12.1176488, -68.9309263)"
SXM,
TCA,"(21.721746, -71.5527809)"
HKG,"(22.350627, 114.1849161)"
HTI,"(19.1399952, -72.3570972)"
GNB,"(11.815215, -15.2351044)"
JAM,"(18.1850507, -77.3947693)"
MNG,"(43.9382593, -79.2235563)"
LAO,"(20.0171109, 103.378253)"
BRB,"(13.1500331, -59.5250305)"
KHM,"(12.5433216, 104.8144914)"
SLB,"(-8.7053941, 159.1070693851845)"
OMN,"(21.0000287, 57.0036901)"
ABW,"(12.5013629, -69.9618475)"
NIC,"(12.6090157, -85.2936911)"
GRD,"(12.1360374, -61.6904045)"
PLW,"(42.5717989, 2.9600905)"
ERI,"(15.9500319, 37.9999668)"
IRN,"(32.6475314, 54.5643516)"
FSM,"(8.6062347, 151.832744331612)"
ATG,"(17.2234721, -61.9554608)"
WSM,"(-13.7693895, -172.12005)"
ZWE,"(-18.4554963, 29.7468414)"
GAB,"(-0.8999695, 11.6899699)"
GEO,"(32.3293809, -83.1137366)"
GBR,"(54.7023545, -3.2765753)"
GHA,"(8.0300284, -1.0800271)"
ETH,"(10.2116702, 38.6521203)"
FIN,"(63.2467777, 25.9209164)"
FRA,"(46.603354, 1.8883335)"
FJI,"(-18.1239696, 179.0122737)"
GIN,"(10.7226226, -10.7083587)"
GMB,"(13.470062, -15.4900464)"
GLP,"(16.2528827, -61.5686855)"
GNB,"(11.815215, -15.2351044)"
LBN,"(40.375713, -76.4626118)"
DZA,"(28.0000272, 2.9999825)"
ECU,"(-1.3397668, -79.3666965)"
EGY,"(26.2540493, 29.2675469)"
DOM,"(19.0974031, -70.3028026)"
DNK,"(55.670249, 10.3333283)"
DMA,"(15.4113138, -61.3653618)"
DJI,"(11.8145966, 42.8453061)"
ERI,"(15.9500319, 37.9999668)"
ESH,"(24.1797324, -13.7667848)"
ESP,"(39.3260685, -4.8379791)"
EST,"(58.7523778, 25.3319078)"
ITA,"(42.6384261, 12.674297)"
JOR,"(44.6663146, -93.6261918)"
JAM,"(18.1850507, -77.3947693)"
KAZ,"(48.1012954, 66.7780818)"
JPN,"(36.5748441, 139.2394179)"
ISR,"(30.8124247, 34.8594762)"
IRQ,"(33.0955793, 44.1749775)"
GNQ,"(1.613172, 10.5170357)"
KHM,"(12.5433216, 104.8144914)"
LAO,"(20.0171109, 103.378253)"
KWT,"(29.3796532, 47.9734174)"
KOR,"(38.233686649999996, 127.00873073371443)"
KNA,"(17.250512, -62.6725973)"
KEN,"(1.4419683, 38.4313975)"
KGZ,"(42.4858224, 74.714583)"
HND,"(15.2572432, -86.0755145)"
HTI,"(19.1399952, -72.3570972)"
HRV,"(45.3658443, 15.6575209)"
HUN,"(47.1817585, 19.5060937)"
IDN,"(-2.4833826, 117.8902853)"
GTM,"(15.5855545, -90.345759)"
GRD,"(12.1360374, -61.6904045)"
GRC,"(43.2581805, -77.6970101)"
GUY,"(4.8417097, -58.6416891)"
HKG,"(22.350627, 114.1849161)"
GUF,"(4.0039882, -52.999998)"
IND,"(22.3511148, 78.6677428)"
IRN,"(32.6475314, 54.5643516)"
IRL,"(52.865196, -7.9794599)"
BFA,"(12.0753083, -1.6880314)"
BGD,"(-0.2864982, 36.0514231)"
BGR,"(42.6073975, 25.4856617)"
BEN,"(9.5293472, 2.2584408)"
BEL,"(50.6402809, 4.6667145)"
BDI,"(-3.426449, 29.9324519)"
BRA,"(-10.3333333, -53.2)"
BLR,"(53.4250605, 27.6971358)"
BOL,"(-17.0568696, -64.9912286)"
BMU,"(32.3040273, -64.7563086)"
BLZ,"(17.1204943, -88.6859028)"
BIH,"(44.3053476, 17.5961467)"
BHS,"(24.7736546, -78.0000547)"
BHR,"(26.1551249, 50.5344606)"
AFG,"(33.7680065, 66.2385139)"
AGO,"(-11.8775768, 17.5691241)"
ALB,"(1.2315264, -75.89204331320687)"
AZE,"(40.3936294, 47.7872508)"
AUT,"(47.59397, 14.12456)"
AUS,"(-24.7761086, 134.755)"
ATG,"(17.2234721, -61.9554608)"
ARM,"(4.536307, -75.6723751)"
ARG,"(-34.9964963, -64.9672817)"
ARE,"(24.0002488, 53.9994829)"
COG,"(-2.9814344, 23.8222636)"
COL,"(4.099917, -72.9088133)"
COD,"(-2.9814344, 23.8222636)"
BRB,"(13.1500331, -59.5250305)"
CUB,"(23.0131338, -80.8328748)"
CZE,"(49.7439047, 15.3381061)"
DEU,"(51.1638175, 10.4478313)"
CYP,"(34.9174159, 32.889902651331866)"
COM,"(-12.2045176, 44.2832964)"
CRI,"(10.2735633, -84.0739102)"
CPV,"(16.0000552, -24.0083947)"
CHL,"(-31.7613365, -71.3187697)"
CHN,"(35.000074, 104.999927)"
CIV,"(7.9897371, -5.5679458)"
CAF,"(7.0323598, 19.9981227)"
BWA,"(-23.1681782, 24.5928742)"
BTN,"(27.549511, 90.5119273)"
CAN,"(61.0666922, -107.991707)"
CHE,"(46.7985624, 8.2319736)"
CMR,"(4.6125522, 13.1535811)"
SYR,"(34.6401861, 39.0494106)"
TCD,"(15.6134137, 19.0156172)"
TGO,"(8.7800265, 1.0199765)"
TKM,"(39.3763807, 59.3924609)"
TUN,"(36.8002068, 10.1857757)"
TTO,"(10.7466905, -61.0840075)"
TON,"(-19.9160819, -175.202642)"
TLS,"(-8.7443169, 126.063482)"
TJK,"(38.6281733, 70.8156541)"
THA,"(7.4931858, 124.724704)"
SEN,"(14.4750607, -14.4529612)"
SLV,"(13.8000382, -88.9140683)"
SOM,"(8.3676771, 49.083416)"
SLE,"(8.6400349, -11.8400269)"
SLB,"(-8.7053941, 159.1070693851845)"
SGP,"(1.357107, 103.8194992)"
SSD,"(7.8699431, 29.6667897)"
SUR,"(4.1413025, -56.0771187)"
STP,"(0.9713095, 7.02255)"
SVK,"(48.7411522, 19.4528646)"
SYC,"(-4.6574977, 55.4540146)"
SWZ,"(-26.5624806, 31.3991317)"
SWE,"(59.6749712, 14.5208584)"
SRB,"(44.024322850000004, 21.07657433209902)"
TUR,"(38.9597594, 34.9249653)"
VEN,"(8.0018709, -66.1109318)"
VNM,"(15.9266657, 107.9650855)"
XXA,
VUT,"(-16.5255069, 168.1069154)"
UZB,"(41.32373, 63.9528098)"
USA,"(39.7837304, -100.445882)"
VCT,"(12.90447, -61.2765569)"
YEM,"(16.3471243, 47.8915271)"
ZMB,"(-14.5189121, 27.5589884)"
ZAF,"(-28.8166236, 24.991639)"
TZA,"(-6.5247123, 35.7878438)"
UGA,"(1.5333554, 32.2166578)"
UKR,"(49.4871968, 31.2718321)"
UNK,
URY,"(-32.8755548, -56.0201525)"
MNE,"(-29.6826112, -51.4687455)"
MOZ,"(-19.302233, 34.9144977)"
MNG,"(43.9382593, -79.2235563)"
MRT,"(20.2540382, -9.2399263)"
MWI,"(-13.2687204, 33.9301963)"
MUS,"(-20.2759451, 57.5703566)"
MMR,"(17.1750495, 95.9999652)"
MLT,"(35.8885993, 14.4476911)"
MLI,"(16.3700359, -2.2900239)"
NGA,"(9.6000359, 7.9999721)"
NAM,"(-23.2335499, 17.3231107)"
MYS,"(4.5693754, 102.2656823)"
NER,"(17.7356214, 9.3238432)"
LBY,"(26.8234472, 18.1236723)"
LKA,"(7.5554942, 80.7137847)"
LCA,"(13.8250489, -60.975036)"
LTU,"(55.3500003, 23.7499997)"
MAR,"(28.3347722, -10.371337908392647)"
LVA,"(56.8406494, 24.7537645)"
LSO,"(-29.6039267, 28.3350193)"
LBR,"(5.7499721, -9.3658524)"
MDA,"(47.027288150000004, 28.826340253557447)"
MEX,"(19.4326296, -99.1331785)"
MDG,"(-18.9249604, 46.4416422)"
MKD,"(41.6171214, 21.7168387)"
RUS,"(64.6863136, 97.7453061)"
RWA,"(-1.9646631, 30.0644358)"
ROU,"(45.9852129, 24.6859225)"
QAT,"(25.3336984, 51.2295295)"
PSE,"(42.2088336, -79.4683738)"
SDN,"(10.9, 6.5)"
SAU,"(25.6242618, 42.3528328)"
NPL,"(28.3780464, 83.9999901)"
PAK,"(30.3308401, 71.247499)"
OMN,"(21.0000287, 57.0036901)"
NIC,"(12.6090157, -85.2936911)"
NLD,"(52.2434979, 5.6343227)"
NOR,"(64.5731537, 11.52803643954819)"
PHL,"(12.7503486, 122.7312101)"
PRK,"(38.233686649999996, 127.00873073371443)"
POL,"(52.215933, 19.134422)"
PRT,"(39.6621648, -8.1353519)"
PRY,"(-23.3165935, -58.1693445)"
PER,"(-6.8699697, -75.0458515)"
PAN,"(8.559559, -81.1308434)"
FSM,"(8.6062347, 151.832744331612)"
ISL,"(64.9841821, -18.1059013)"
KIR,"(0.3448612, 173.6641773)"
